Tweet-Text,Tweet-Lang,Tweet-country,sentiment_type,sentiment_score,sentiment_result_code,sentiment_result_msg
RT @moonoy68:    #PaulWalker #FastFurious7 http://t.co/TpOOOIqL2R,th,,neutral,0,469,Sentiment not found
#FastFurious7 Amazing film! Hope its not the end #RIPPaulWalker,en,,positive,0.19885615833333,200,Success
 #FastFurious7. https://t.co/E8mGll38LV http://t.co/sbboT9Nl6j,und,,neutral,0,469,Sentiment not found
"RT @suanjean: So remember me when i'm gone


c u again

 .",th,,neutral,0.020746521,200,Success
I have a feeling I'm gonna tear up when I see #FastFurious7,en,,neutral,0.0072343456,200,Success
RT @peytonmeyer9: Could not have been a better ending!! #FastFurious7 #RIPPaulWalker ,en,,positive,0.14806584833333,200,Success
The part where Paul Walker and Vin Diesel are on the road and Paul takes a different road.    #RIPPaulWalker #FastFurious7,en,,positive,0.060329787,200,Success
not emotionally ready for this movie #FastFurious7,en,,negative,-0.5778287525,200,Success
"@PavanRandhawa1 I saw it! It was so emotional, wasnt quite expecting it...but can't imagine a better send off for Paul Walker #FastFurious7",en,,positive,0.133017110125,200,Success
"RT @PedroDtpk: ""Vc vai precisar de uma cavalaria.

"" MULHER...EU SOU A CACALARIA""
@Velozes7Filme #FastFurious7 #VelozeseFuriosos",pt,,neutral,0,469,Sentiment not found
Toptheboxoffice #FastFurious7,en,,neutral,0,469,Sentiment not found
I'm about to go watch #FastFurious7,en,,positive,0.152059727,200,Success
"RT @Thefelix47: ""7 
 "" #FastFurious7 http:/",th,,neutral,0,469,Sentiment not found
RT @AarZoBruv: This deserves endless RT'S ;( #FastFurious7 #PaulWalker http://t.co/BeU8exDRVr,en,,positive,0.309915832,200,Success
The Movie Everyone's Talking About #FastFurious7 kills the charts. See Here: http://t.co/KufnNCGCky,en,,negative,-0.16470996533333,200,Success
"RT @pimkaiearng:     
 #FastFurious7  #Fast7 http://t.co/qy5S7F8dOW",th,,neutral,0,469,Sentiment not found
"""I've never regretted the day I enter that sandwich shop. That sandwich even not delicious"" #FastFurious7 #RIPPaulWalker #dialogue #memory",en,,negative,-0.3234816954,200,Success
RT @Dynamomagician: #FastFurious7 perfect ending #ForPaul #RIPPaulWalker Great ride @TheRock @Tyrese @Ludacris @missnemmanuel @FastFurious,en,,positive,0.60987325666667,200,Success
"Si tout le monde pouvais prendre exemple sur leur amiti, on connatrait de vrai valeur #FAF7 #FastFurious7 http://t.co/ROYMK2eMQq",fr,,negative,-0.569059516,200,Success
"RT @suanjean: 
#forPAUL #FF7 #FastFurious7 http://t.co/Dhmov3MGyE",th,,neutral,0,469,Sentiment not found
Wiz Khalifa ft Charlie Puth - See you again #FastFurious7,en,,positive,0.214487297,200,Success
I didn't see the movie but someone put the last three mins on Facebook #whataspoiler but I started to cry  #FastFurious7,en,,negative,-0.26987885916667,200,Success
RT @bemindppm:  #FastFurious7 #Fast7 #ForPaul #PaulWalker,th,,neutral,0,469,Sentiment not found
Watching Fast &amp; Furious 7 like. When did Vin Diesel &amp; them turn into superheroes??!!?THAT N!GGA AIN'T BATMAN!!lol #overthetop #FastFurious7,en,,positive,0.561912573,200,Success
"RT @izadahmad_: This is the scene and the words that  makes me cry the MOST!!! 

#FastFurious7 http://t.co/QaHM5HSXNB",en,,negative,-0.197143111,200,Success
"RT @jordanhcsm: #FastFurious7 really really good film with a huge eye opener at the end, nothing matters more than family... #truth",en,,positive,0.279574727375,200,Success
RT @_lucassousabr: saddest part of the movie tbh #FastFurious7 #PaulWalker http://t.co/OLFpZOFG5p,en,,negative,-0.97837309,200,Success
No puedo con el final de esta pelicula  @vanesuazo #FastFurious7,es,,negative,-0.217959174,200,Success
RT @AarZoBruv: This deserves endless RT'S ;( #FastFurious7 #PaulWalker http://t.co/BeU8exDRVr,en,,positive,0.309915832,200,Success
RT @AarZoBruv: This deserves endless RT'S ;( #FastFurious7 #PaulWalker http://t.co/BeU8exDRVr,en,,positive,0.309915832,200,Success
"RT @suanjean:  
 IT'S NEVER GOODBYE 
#FF7 #FastFurious7 http://t",th,,positive,0.467771937,200,Success
I'm scared to see Fast &amp; Furious 7 because I know I'll be crying like a big baby every time I see Paul #rip #pualwalker #FastFurious7 ,en,,neutral,0.048452861666667,200,Success
"RT @suanjean: 
#forPAUL #FF7 #FastFurious7 http://t.co/Dhmov3MGyE",th,,neutral,0,469,Sentiment not found
How can we not talk about family when families all that we got #ForPaul #FastFurious7,en,,negative,-0.23308988733333,200,Success
Forever tho.. #FastFurious7 #ForPaul #fast7 #FF7 #PaulWalker #PaulWalkerTribute http://t.co/Tm6w5PT95w,en,,neutral,0,469,Sentiment not found
The ONLY good things about #FastFurious7 was #JasonStatham and the #PaulWalkerTribute ending,en,,positive,0.258569862,200,Success
#FastFurious7 such a good movie omg I cried sooo much and I laughed and it was so good and asdfghjkl ,en,,positive,0.312220585,200,Success
"RT @AustinBonello: That ending was very emotional, #FastFurious7 exceeded expectations.",en,,positive,0.33909659166667,200,Success
Mejor imposible...  pedazo de peli #FastFurious7 ,es,,neutral,0,469,Sentiment not found
RT @nnnnoeyyy:   ,th,,neutral,0,469,Sentiment not found
RT @skinner1310: watched the tribute and heard the song. Can't wait to watch the film. I'm nearly in tears. #ForPaul #FastFurious7 http://t,en,,positive,0.08740661525,200,Success
"RT @front17: 
#PaulWalker #FastFurious7 http://t.co/xEQtEQ3VZ8",th,,neutral,0,469,Sentiment not found
Just been to see #FastFurious7 it's absolutely awesome!!It just reminds how much of a legend that Paul Walker is @FastFurious #RIPPaulWalker,en,,positive,0.3485465115,200,Success
RIP Paul Walker you will forever be missed.  #FastFurious7 #RIPPaulWalker http://t.co/Rt99ctK5uE,en,,negative,-0.1872930075,200,Success
"RT @pimkaiearng:     
 #FastFurious7  #Fast7 http://t.co/qy5S7F8dOW",th,,neutral,0,469,Sentiment not found
Cette image est  #FAF7 #FastFurious7 http://t.co/TrOPy1DH2c,fr,,neutral,0,469,Sentiment not found
#FastFurious7 was crazy good and bittersweet RIP Paul Walker #ForPaul,en,,negative,-0.17053611866667,200,Success
RT @MayAnatcha:  ....      #FastFurious7,th,,neutral,0,469,Sentiment not found
RT @VibeFilm: #FastFurious7 was amazing. The cast and crew have done #PaulWalker very proud with this film. What an amazing actor. http://t,en,,positive,0.62404744875,200,Success
Not sure if I'm emotionally stable for the death of Bryan o'connor. #FastFurious7,en,,negative,-0.14387104575,200,Success
"""@CalTurnerUK: The story behind this song #RIPPaulWalker #FastFurious7 #ForPaul https://t.co/DCrc9sO8KC Fave to show your Respect""",en,,positive,0.26503919566667,200,Success
#FastFurious7 ending gives me goosebumps every time I watch it! #SaluteMiFamilia ,en,,positive,0.180624004,200,Success
RT @Mariaalarcon97: Los pelos de punta #FastFurious7 #PaulWalkerTribute http://t.co/WCEEjYpeUp,es,,neutral,0,469,Sentiment not found
Building my ka24de just finished up my head getting ready to do a leakdown #FastFurious7 #jdm http://t.co/D3NZpEpHVN,en,,positive,0.26286620633333,200,Success
I live my life a quarter miles away and I think that's why we were brothers #ForPaul #FastFurious7  #RIPPaulWalker http://t.co/hxGvc3cjkB,en,,positive,0.093421693333333,200,Success
RT @sixtimemommy: My open Letter to the Cast &amp; Crew of #Furious7 THANK YOU - http://t.co/gCgdxApmm6 - @tyrese @JordanaBrewster @creepypuppe,en,,negative,-0.066210086,200,Success
"RT @Keep_walkign: Fast7     #SeeYouAgain 
#FastFurious7 http://t.co/TlnWAoHgBa",th,,neutral,0,469,Sentiment not found
"RT @pimkaiearng:     
 #FastFurious7  #Fast7 http://t.co/qy5S7F8dOW",th,,neutral,0,469,Sentiment not found
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
"RT @suanjean: ""

""
#FF7 #FastFurious7 RIP http://",th,,negative,-0.492508949,200,Success
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
Might go 2 da movies 2mar ain't been in ova 3yrs might go see my boys #FastFurious7,en,,negative,-0.121380173,200,Success
RT @_iMansoor: #FastFurious7 http://t.co/QHJBwcUozJ,und,,neutral,0,469,Sentiment not found
"""Ce ne sont pas mes amis, c'est ma famille""  #FastFurious7 #FAF7",fr,,neutral,0,469,Sentiment not found
#FastFurious7 is something else ,en,,neutral,0,469,Sentiment not found
RT @nnnnoeyyy: {Thaisub}  ..   #FastFurious7 http://t.,th,,neutral,0,469,Sentiment not found
Finally going to be seeing #FastFurious7  tonight #RIPPaulWalker #mydude #VinDiesel,en,,negative,-0.1295269465,200,Success
"RT @suanjean: now you gonna be with me for the last ride

#forPAUL #FastFurious7 http://",th,,neutral,0.0067902065,200,Success
RT @DRAWlNG: Paul Walker #FastFurious7 http://t.co/MpEy6MzdXw,en,,neutral,0,469,Sentiment not found
"RT @Thefelix47: ""7 
 "" #FastFurious7 http:/",th,,neutral,0,469,Sentiment not found
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
"RT @pimkaiearng:     
 #FastFurious7  #Fast7 http://t.co/qy5S7F8dOW",th,,neutral,0,469,Sentiment not found
Time to check out #FastFurious7 ,en,,neutral,0.0033655463333333,200,Success
"RT @suanjean: 
 
#FastFurious7 http://",th,,neutral,0,469,Sentiment not found
Gli ultimi due minuti di film valgono l'intera saga. #PaulWalker  #FastFurious7,it,,positive,0.263316882,200,Success
Paul walker u are a legend rip #FastFurious7,en,,negative,-0.492508949,200,Success
"RT @suanjean: 
#forPAUL #FF7 #FastFurious7 http://t.co/Dhmov3MGyE",th,,neutral,0,469,Sentiment not found
